Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,Rush DVOA Rank,Rush DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj. Rush VOA Rank,Unadj. Rush VOA,Variance Rank,Variance,Schedule Rank,Schedule
SEA,1,19.7%,4,1,27.3%,2,45.6%,3,3.9%,3,16.7%,1,43.7%,4,-0.4%,20,7.9%,5,-2.8%
CIN,2,19.4%,17,3,14.7%,1,46.4%,6,0.4%,5,16.2%,3,43.0%,7,-2.6%,27,9.6%,10,-2.0%
PIT,3,17.7%,2,2,14.9%,5,32.5%,2,6.4%,4,16.5%,7,30.4%,2,6.7%,16,6.5%,7,-2.5%
ARI,4,16.2%,23,5,13.8%,3,42.5%,13,-8.5%,1,17.4%,2,43.6%,11,-7.0%,21,8.2%,18,0.2%
NE,5,15.4%,6,10,9.4%,4,35.1%,9,-5.9%,2,17.3%,5,36.4%,8,-2.9%,6,4.5%,20,1.1%
KC,6,13.1%,12,4,14.5%,11,24.5%,1,8.4%,7,12.0%,13,21.7%,1,9.7%,5,4.5%,14,-1.2%
CAR,7,10.5%,20,7,12.6%,8,28.7%,7,-1.0%,6,12.9%,6,33.7%,5,-1.1%,9,4.9%,31,4.0%
NO,8,9.8%,8,6,13.3%,7,30.0%,14,-8.9%,9,9.0%,10,28.1%,14,-8.2%,14,6.4%,15,-0.8%
BUF,9,9.7%,26,8,9.5%,9,25.2%,4,2.6%,8,12.0%,8,29.8%,3,2.5%,28,10.0%,17,0.1%
CHI,10,6.6%,16,9,9.5%,14,20.4%,5,1.8%,12,2.9%,15,16.0%,6,-1.4%,2,2.9%,1,-4.4%
GB,11,2.7%,1,22,-7.5%,15,18.5%,19,-13.5%,14,0.9%,16,15.9%,20,-13.9%,26,9.5%,4,-3.8%
WAS,12,2.0%,28,13,6.7%,6,32.5%,30,-25.2%,10,6.9%,4,37.8%,27,-20.7%,31,12.2%,28,3.0%
DET,13,1.7%,19,12,7.2%,16,17.6%,25,-19.7%,18,-1.8%,18,11.4%,24,-18.2%,11,5.2%,12,-1.6%
NYJ,14,1.6%,27,15,3.1%,10,24.5%,24,-17.9%,11,6.2%,9,29.2%,19,-13.3%,15,6.4%,32,4.7%
MIN,15,0.5%,22,14,3.5%,19,10.3%,8,-3.0%,15,0.3%,20,10.0%,9,-3.1%,17,6.7%,8,-2.5%
SD,16,-0.4%,10,18,-4.3%,12,23.3%,28,-23.2%,19,-2.1%,11,23.5%,31,-27.9%,8,4.8%,9,-2.4%
OAK,17,-1.3%,30,19,-6.7%,13,20.9%,21,-16.4%,16,-1.0%,12,21.9%,23,-17.2%,32,12.5%,6,-2.5%
TB,18,-1.5%,32,11,7.9%,17,15.1%,17,-10.5%,17,-1.6%,17,15.1%,16,-10.7%,25,9.2%,27,2.6%
NYG,19,-1.8%,15,16,-0.7%,18,11.8%,20,-13.5%,13,1.6%,14,17.1%,17,-12.7%,30,11.1%,29,3.1%
JAX,20,-5.2%,31,21,-7.1%,20,10.3%,31,-26.8%,21,-3.8%,19,11.3%,30,-25.0%,18,6.7%,22,1.4%
BAL,21,-5.4%,9,23,-8.2%,22,4.6%,18,-10.6%,24,-6.5%,24,4.4%,18,-13.1%,1,2.8%,11,-2.0%
ATL,22,-7.2%,11,26,-13.4%,23,4.0%,22,-17.4%,20,-3.2%,22,9.8%,22,-16.3%,10,5.1%,30,3.3%
MIA,23,-7.4%,7,20,-6.8%,24,2.1%,12,-8.4%,22,-5.5%,23,4.7%,13,-7.5%,29,10.5%,24,2.1%
DEN,24,-8.5%,3,17,-3.4%,28,-2.9%,16,-10.3%,25,-7.3%,26,-1.8%,15,-8.9%,24,8.8%,19,0.5%
HOU,25,-8.8%,21,24,-9.0%,21,5.9%,26,-20.5%,23,-6.4%,21,9.9%,25,-20.2%,12,6.0%,25,2.2%
PHI,26,-10.5%,13,25,-10.2%,29,-3.4%,15,-9.4%,26,-9.1%,25,3.8%,21,-15.9%,7,4.7%,23,2.1%
CLE,27,-13.2%,24,28,-13.8%,25,-0.1%,23,-17.6%,32,-18.4%,29,-5.3%,28,-23.2%,3,3.6%,2,-4.3%
SF,28,-13.9%,14,27,-13.6%,26,-2.2%,27,-21.8%,27,-14.5%,28,-3.9%,26,-20.6%,22,8.3%,3,-4.2%
STL,29,-15.5%,25,29,-15.6%,32,-12.9%,11,-7.9%,29,-15.8%,32,-14.0%,12,-7.4%,19,7.2%,13,-1.4%
DAL,30,-15.8%,5,31,-18.5%,31,-12.6%,10,-6.4%,28,-14.5%,31,-11.8%,10,-4.4%,4,4.3%,26,2.3%
IND,31,-15.9%,18,32,-21.0%,27,-2.9%,32,-29.0%,30,-16.5%,27,-2.0%,32,-32.4%,23,8.3%,16,0.1%
TEN,32,-15.9%,29,30,-17.8%,30,-6.4%,29,-23.2%,31,-17.1%,30,-7.9%,29,-23.7%,13,6.1%,21,1.3%
